Product Category,Cable Type,Voltage Grade,Conductor Material,Core Count,Cross Section (sq.mm),Armouring,Insulation Type,Standard,Price (Rupees/m),Source
LT Power,A2XY,1.1 kV,Aluminium,1,6,Unarmoured,XLPE,IS 7098 (Part 1):1988,127,Extended: interpolated from EY price curve — verify before quoting
LT Power,A2XY,1.1 kV,Aluminium,1,10,Unarmoured,XLPE,IS 7098 (Part 1):1988,147,Extended: interpolated from EY price curve — verify before quoting
LT Power,A2XY,1.1 kV,Aluminium,1,16,Unarmoured,XLPE,IS 7098 (Part 1):1988,178,Extended: interpolated from EY price curve — verify before quoting
LT Power,A2XY,1.1 kV,Aluminium,1,25,Unarmoured,XLPE,IS 7098 (Part 1):1988,223,Extended: interpolated from EY price curve — verify before quoting
LT Power,A2XY,1.1 kV,Aluminium,1,50,Unarmoured,XLPE,IS 7098 (Part 1):1988,340,Extended: interpolated from EY price curve — verify before quoting
LT Power,A2XY,1.1 kV,Aluminium,1,70,Unarmoured,XLPE,IS 7098 (Part 1):1988,429,Extended: interpolated from EY price curve — verify before quoting
LT Power,A2XY,1.1 kV,Aluminium,1,120,Unarmoured,XLPE,IS 7098 (Part 1):1988,660,Extended: interpolated from EY price curve — verify before quoting
LT Power,A2XY,1.1 kV,Aluminium,1,150,Unarmoured,XLPE,IS 7098 (Part 1):1988,803,Extended: interpolated from EY price curve — verify before quoting
LT Power,A2XY,1.1 kV,Aluminium,1,185,Unarmoured,XLPE,IS 7098 (Part 1):1988,971,Extended: interpolated from EY price curve — verify before quoting
LT Power,A2XY,1.1 kV,Aluminium,1,240,Unarmoured,XLPE,IS 7098 (Part 1):1988,1234,Extended: interpolated from EY price curve — verify before quoting
LT Power,A2XY,1.1 kV,Aluminium,1,300,Unarmoured,XLPE,IS 7098 (Part 1):1988,1521,Extended: interpolated from EY price curve — verify before quoting
LT Power,A2XY,1.1 kV,Aluminium,1,400,Unarmoured,XLPE,IS 7098 (Part 1):1988,1999,Extended: interpolated from EY price curve — verify before quoting
LT Power,A2XY,1.1 kV,Aluminium,2,6,Unarmoured,XLPE,IS 7098 (Part 1):1988,162,Extended: interpolated from EY price curve — verify before quoting
LT Power,A2XY,1.1 kV,Aluminium,2,10,Unarmoured,XLPE,IS 7098 (Part 1):1988,192,Extended: interpolated from EY price curve — verify before quoting
LT Power,A2XY,1.1 kV,Aluminium,3,6,Unarmoured,XLPE,IS 7098 (Part 1):1988,204,Extended: interpolated from EY price curve — verify before quoting
LT Power,A2XWaY,1.1 kV,Aluminium,1,6,Armoured,XLPE,IS 7098 (Part 1):1988,220,Extended: interpolated from EY price curve — verify before quoting
LT Power,A2XWaY,1.1 kV,Aluminium,1,10,Armoured,XLPE,IS 7098 (Part 1):1988,241,Extended: interpolated from EY price curve — verify before quoting
LT Power,A2XWaY,1.1 kV,Aluminium,1,16,Armoured,XLPE,IS 7098 (Part 1):1988,273,Extended: interpolated from EY price curve — verify before quoting
LT Power,A2XWaY,1.1 kV,Aluminium,1,25,Armoured,XLPE,IS 7098 (Part 1):1988,321,Extended: interpolated from EY price curve — verify before quoting
LT Power,A2XWaY,1.1 kV,Aluminium,1,50,Armoured,XLPE,IS 7098 (Part 1):1988,454,Extended: interpolated from EY price curve — verify before quoting
LT Power,A2XWaY,1.1 kV,Aluminium,1,70,Armoured,XLPE,IS 7098 (Part 1):1988,559,Extended: interpolated from EY price curve — verify before quoting
LT Power,A2XWaY,1.1 kV,Aluminium,1,120,Armoured,XLPE,IS 7098 (Part 1):1988,798,Extended: interpolated from EY price curve — verify before quoting
LT Power,A2XWaY,1.1 kV,Aluminium,1,150,Armoured,XLPE,IS 7098 (Part 1):1988,928,Extended: interpolated from EY price curve — verify before quoting
LT Power,A2XWaY,1.1 kV,Aluminium,1,185,Armoured,XLPE,IS 7098 (Part 1):1988,1079,Extended: interpolated from EY price curve — verify before quoting
LT Power,A2XWaY,1.1 kV,Aluminium,1,240,Armoured,XLPE,IS 7098 (Part 1):1988,1316,Extended: interpolated from EY price curve — verify before quoting
LT Power,A2XWaY,1.1 kV,Aluminium,1,300,Armoured,XLPE,IS 7098 (Part 1):1988,1576,Extended: interpolated from EY price curve — verify before quoting
LT Power,A2XWaY,1.1 kV,Aluminium,1,400,Armoured,XLPE,IS 7098 (Part 1):1988,2008,Extended: interpolated from EY price curve — verify before quoting
LT Power,A2XWY,1.1 kV,Aluminium,2,6,Armoured,XLPE,IS 7098 (Part 1):1988,272,Extended: interpolated from EY price curve — verify before quoting
LT Power,A2XWY,1.1 kV,Aluminium,2,10,Armoured,XLPE,IS 7098 (Part 1):1988,308,Extended: interpolated from EY price curve — verify before quoting
LT Power,A2XWY,1.1 kV,Aluminium,4,10,Armoured,XLPE,IS 7098 (Part 1):1988,392,Extended: interpolated from EY price curve — verify before quoting
LT Power,2XY,1.1 kV,Copper,1,6,Unarmoured,XLPE,IS 7098 (Part 1):1988,398,Extended: interpolated from EY price curve — verify before quoting
LT Power,2XY,1.1 kV,Copper,1,10,Unarmoured,XLPE,IS 7098 (Part 1):1988,479,Extended: interpolated from EY price curve — verify before quoting
LT Power,2XY,1.1 kV,Copper,1,16,Unarmoured,XLPE,IS 7098 (Part 1):1988,602,Extended: interpolated from EY price curve — verify before quoting
LT Power,2XY,1.1 kV,Copper,1,35,Unarmoured,XLPE,IS 7098 (Part 1):1988,919,Extended: interpolated from EY price curve — verify before quoting
LT Power,2XY,1.1 kV,Copper,1,50,Unarmoured,XLPE,IS 7098 (Part 1):1988,1121,Extended: interpolated from EY price curve — verify before quoting
LT Power,2XY,1.1 kV,Copper,1,70,Unarmoured,XLPE,IS 7098 (Part 1):1988,1389,Extended: interpolated from EY price curve — verify before quoting
LT Power,2XY,1.1 kV,Copper,1,120,Unarmoured,XLPE,IS 7098 (Part 1):1988,2010,Extended: interpolated from EY price curve — verify before quoting
LT Power,2XY,1.1 kV,Copper,1,150,Unarmoured,XLPE,IS 7098 (Part 1):1988,2352,Extended: interpolated from EY price curve — verify before quoting
LT Power,2XY,1.1 kV,Copper,1,185,Unarmoured,XLPE,IS 7098 (Part 1):1988,2750,Extended: interpolated from EY price curve — verify before quoting
LT Power,2XY,1.1 kV,Copper,1,240,Unarmoured,XLPE,IS 7098 (Part 1):1988,3377,Extended: interpolated from EY price curve — verify before quoting
LT Power,2XY,1.1 kV,Copper,1,300,Unarmoured,XLPE,IS 7098 (Part 1):1988,4061,Extended: interpolated from EY price curve — verify before quoting
LT Power,2XY,1.1 kV,Copper,2,6,Unarmoured,XLPE,IS 7098 (Part 1):1988,640,Extended: interpolated from EY price curve — verify before quoting
LT Power,2XWY,1.1 kV,Copper,2,6,Armoured,XLPE,IS 7098 (Part 1):1988,686,Extended: interpolated from EY price curve — verify before quoting
Flexible,FRLS,1.1 kV,Copper,1,1.5,Unarmoured,FRLS PVC,IS 694:2010,22,Extended: interpolated from EY price curve — verify before quoting
LT Power,2XWY,1.1 kV,Copper,1,35,Armoured,XLPE,IS 7098 (Part 1):1988,1064,Extended: interpolated from EY price curve — verify before quoting
LT Power,2XWY,1.1 kV,Copper,1,50,Armoured,XLPE,IS 7098 (Part 1):1988,1296,Extended: interpolated from EY price curve — verify before quoting
LT Power,2XWY,1.1 kV,Copper,1,70,Armoured,XLPE,IS 7098 (Part 1):1988,1604,Extended: interpolated from EY price curve — verify before quoting
LT Power,2XWY,1.1 kV,Copper,1,120,Armoured,XLPE,IS 7098 (Part 1):1988,2329,Extended: interpolated from EY price curve — verify before quoting
LT Power,2XWY,1.1 kV,Copper,1,150,Armoured,XLPE,IS 7098 (Part 1):1988,2735,Extended: interpolated from EY price curve — verify before quoting
LT Power,2XWY,1.1 kV,Copper,1,185,Armoured,XLPE,IS 7098 (Part 1):1988,3209,Extended: interpolated from EY price curve — verify before quoting
